
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0     21,800 K
Registry                       272 Services                   0     65,508 K
smss.exe                       804 Services                   0      1,544 K
csrss.exe                      940 Services                   0      7,544 K
wininit.exe                   1156 Services                   0      9,400 K
csrss.exe                     1164 Console                    1      7,696 K
winlogon.exe                  1256 Console                    1     15,196 K
services.exe                  1304 Services                   0     11,088 K
lsass.exe                     1324 Services                   0     27,412 K
svchost.exe                   1464 Services                   0     36,056 K
fontdrvhost.exe               1496 Services                   0      5,040 K
fontdrvhost.exe               1504 Console                    1      9,472 K
svchost.exe                   1596 Services                   0     17,972 K
svchost.exe                   1644 Services                   0     13,712 K
dwm.exe                       1712 Console                    1     96,208 K
svchost.exe                   1888 Services                   0      7,276 K
svchost.exe                   1952 Services                   0      8,348 K
svchost.exe                   1960 Services                   0     15,544 K
svchost.exe                   1968 Services                   0     14,016 K
svchost.exe                   1976 Services                   0     14,084 K
svchost.exe                   1984 Services                   0     16,632 K
svchost.exe                    980 Services                   0     16,088 K
svchost.exe                   1760 Services                   0      7,740 K
svchost.exe                   2092 Services                   0     11,496 K
svchost.exe                   2136 Services                   0     11,924 K
svchost.exe                   2248 Services                   0     11,048 K
svchost.exe                   2260 Services                   0     22,336 K
svchost.exe                   2352 Services                   0     18,508 K
atiesrxx.exe                  2388 Services                   0      8,920 K
amdfendrsr.exe                2396 Services                   0      9,824 K
svchost.exe                   2636 Services                   0      7,732 K
svchost.exe                   2644 Services                   0     18,456 K
svchost.exe                   2652 Services                   0     10,536 K
atieclxx.exe                  2680 Console                    1     18,748 K
svchost.exe                   2772 Services                   0     43,352 K
Memory Compression            2816 Services                   0    252,192 K
svchost.exe                   2856 Services                   0     11,480 K
svchost.exe                   2888 Services                   0     11,868 K
svchost.exe                   2896 Services                   0      9,488 K
svchost.exe                   2240 Services                   0     10,848 K
svchost.exe                   2884 Services                   0     19,088 K
svchost.exe                   3112 Services                   0     10,256 K
svchost.exe                   3144 Services                   0      8,788 K
svchost.exe                   3196 Services                   0     13,888 K
svchost.exe                   3376 Services                   0     23,640 K
svchost.exe                   3388 Services                   0  8,043,624 K
svchost.exe                   3464 Services                   0     23,080 K
svchost.exe                   3528 Services                   0     16,540 K
svchost.exe                   3548 Services                   0     25,208 K
spoolsv.exe                   3664 Services                   0     30,988 K
svchost.exe                   3732 Services                   0      9,180 K
svchost.exe                   3764 Services                   0     10,132 K
svchost.exe                   3912 Services                   0     10,572 K
svchost.exe                   3976 Services                   0     15,648 K
svchost.exe                   3984 Services                   0      9,668 K
svchost.exe                   3992 Services                   0     22,772 K
svchost.exe                   4000 Services                   0     51,456 K
svchost.exe                   4012 Services                   0     10,780 K
svchost.exe                   4032 Services                   0     23,336 K
svchost.exe                   4040 Services                   0      7,396 K
svchost.exe                   4048 Services                   0     26,192 K
svchost.exe                   4060 Services                   0     38,372 K
svchost.exe                   4068 Services                   0     21,512 K
svchost.exe                   4072 Services                   0      9,836 K
AnyDesk.exe                   4196 Services                   0     53,144 K
RtkBtManServ.exe              4220 Services                   0      8,796 K
MsMpEng.exe                   4316 Services                   0    271,176 K
MpDefenderCoreService.exe     4324 Services                   0     25,224 K
dasHost.exe                   4596 Services                   0     18,912 K
svchost.exe                   4608 Services                   0     12,088 K
dasHost.exe                   4996 Services                   0     13,640 K
svchost.exe                   5068 Services                   0     12,588 K
svchost.exe                   5368 Services                   0     11,116 K
svchost.exe                   6100 Services                   0     24,400 K
sihost.exe                     776 Console                    1     48,548 K
svchost.exe                   3924 Console                    1     25,632 K
svchost.exe                   3960 Console                    1      7,416 K
svchost.exe                   5188 Console                    1     37,232 K
svchost.exe                   6420 Services                   0     25,500 K
SearchIndexer.exe             6452 Services                   0     26,964 K
AggregatorHost.exe            6528 Services                   0     12,180 K
taskhostw.exe                 6828 Console                    1     23,032 K
svchost.exe                   6952 Services                   0     20,864 K
explorer.exe                  7124 Console                    1    300,660 K
ShellHost.exe                 6164 Console                    1     47,332 K
svchost.exe                   7216 Services                   0     15,384 K
